code,iso,country,Pop,PopGrowthRate,PopDensity,GDP,LandArea,GDPpc,SDGI,EPI2018Score,EPI2018Rank,AIR.current,HAD.current,PME.current,PMW.current,DST.current,DXT.current
410,KOR,South Korea,51.245707,0.451318044,525.7048318,1792.87,97480,34985.75988,75.5,62.3,60,61.19,100,30.21,40.43,84.52,71.29
724,ESP,Spain,46.443959,-0.008048086,92.84892145,1548.87,500210,33349.22417,76.8,78.39,12,94.07,87.09,100,97.44,79.18,59.51
144,LKA,Sri Lanka,21.203,1.124060307,338.1119439,242.08,62710,11417.25228,65.9,60.61,70,69.91,25.65,100,98.84,45.73,57.74
729,SDN,Sudan,39.578828,2.380439887,22.68897306,173.607,2376000,4386.360304,49.9,51.49,115,64.56,11.49,100,99.87,50.83,45.72
740,SUR,Suriname,0.558368,0.928418221,3.579282051,7.749023291,156000,13877.98601,70.4,54.2,103,75.24,38.11,100,100,64.45,73.35
748,SWZ,Swaziland,1.343098,1.809667249,78.08709302,10.37360686,17200,7723.64106,55,40.32,162,42.3,15.38,54.85,65.66,47.69,48.98
752,SWE,Sweden,9.903122,1.055073996,24.31347622,462.1,407310,46662.05263,85.6,80.51,5,92.84,82.42,100,99.57,64.13,64.2
756,CHE,Switzerland,8.372098,1.077221168,211.866029,480.81,39516,57430.04919,81.2,87.42,1,91.06,88.17,93.86,92.1,98.7,98.7
158,TWN,Taiwan,23.555,2.60E+11,650.7445368,1097.717369,36197,46602.30818,-9999,72.84,23,69.04,65.32,67.35,75.7,79.72,99.79
762,TJK,Tajikistan,8.734951,2.155884123,62.93827187,24.13104856,138786,2762.585453,66.8,47.85,129,23.22,17,26.88,27.86,38.33,60.58
834,TZA,Tanzania,55.572201,3.092454074,62.73673628,139.38,885800,2508.088532,52.1,50.83,119,60.55,7.64,100,91.65,57.1,44.42
764,THA,Thailand,68.863514,0.299465512,134.7912741,1079.99,510890,15683.05097,69.5,49.88,121,37.9,42.83,32.17,37.04,55.75,41.83
626,TLS,Timor-Leste,1.268671,2.207092325,85.31748487,2.51788156,14870,1984.660767,61.5,49.54,125,64.77,11.92,100,100,22.73,12.97
768,TGO,Togo,7.606374,2.523861304,139.848759,10.51284365,54390,1382.109747,50.2,41.78,159,50.08,5.62,80.11,79.34,75.24,23.64
776,TON,Tonga,0.107122,0.710119807,148.7805556,0.570667517,720,5327.2672,-9999,62.49,57,68.96,22.41,100,100,65.15,61.09
780,TTO,Trinidad and Tobago,1.364962,0.35742449,266.0744639,41.58323861,5130,30464.75917,69.1,67.36,35,93.91,84.77,100,100,84.28,16.26
788,TUN,Tunisia,11.403248,1.142910708,73.39886715,122.608,155360,10752.02434,68.7,62.35,58,95.45,88.68,100,99.93,56.64,70.42
792,TUR,Turkey,79.512426,1.5730117,103.3125346,1888.94,769630,23756.53838,68.5,52.96,108,78.2,73.23,80.3,82.71,42.91,45.91
795,TKM,Turkmenistan,5.662544,1.732524453,12.0497606,88.60960132,469930,15648.37312,56.7,66.1,38,87.82,77.42,96.24,93.26,79.26,65.26
800,UGA,Uganda,41.487965,3.290872381,206.9018801,69.99362951,200520,1687.082736,52.9,44.28,145,42.43,8.29,61.6,68.79,56.91,58.15
804,UKR,Ukraine,45.004645,-0.33138051,77.68931796,327.215,579290,7270.693947,72.7,52.87,109,64.21,50.4,70.56,76.29,30.38,49.99
784,ARE,United Arab Emirates,9.269612,1.251759052,110.8805263,622.297,83600,67133.01484,66,58.9,77,72.93,81.55,65.14,69.24,86.17,22.93
826,GBR,United Kingdom,65.637239,0.777541827,271.3067375,2574.94,241930,39229.86462,78.3,79.89,6,94.43,87.89,100,97.57,73.91,91.84
840,USA,United States of America,323.127513,0.692801346,35.32444263,17236.2,9147420,53341.79018,72.4,71.19,27,97.52,100,99.01,92.71,47.64,53.29
858,URY,Uruguay,3.444006,0.362269175,19.6777854,69.04173629,175020,20046.92683,71,64.65,47,87.49,69.63,100,98.79,0,0.01
860,UZB,Uzbekistan,31.8482,1.739791235,74.86647861,192.327,425400,6038.865619,71.2,45.88,136,44.79,29.65,50.68,59.09,75.64,67.26
548,VUT,Vanuatu,0.270402,2.167915111,22.18228056,0.772396637,12190,2856.47531,-9999,44.55,144,61.05,2.62,100,100,65.42,81.21
862,VEN,Venezuela,31.568179,1.31705725,35.78955728,443.8400821,882050,14059.73028,65.8,63.89,51,90.39,76.03,100,99.93,32.47,23.52
704,VNM,Viet Nam,92.7011,1.071293182,298.9682975,552.059,310070,5955.258352,67.9,46.96,132,43.2,24.93,51.46,59.32,27.96,21.04
894,ZMB,Zambia,16.59139,3.002815515,22.31855419,60.50817421,743390,3646.962323,51.1,50.97,117,41.66,5.57,62.38,69.06,68.5,85.68
716,ZWE,Zimbabwe,16.150362,2.33606955,41.74838309,30.35667456,386850,1879.62812,56.1,43.41,149,53.52,9.72,80.77,84.66,7.25,9.16
